Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Lenovo,Intel Core i7 13th Gen 1355U (1.70GHz) ,Intel Iris Xe Graphics,16 GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.17 lbs.,699.99
Acer,Intel Core i7 13th Gen 1355U (1.70GHz),Intel Iris Xe Graphics,16 GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,3.92 lbs.,699.99
MSI,AMD Ryzen 5-7530U,AMD Radeon Graphics,16GB ,14 Inches,1920x1080,512GB SSD,Windows 11 Home,3.75 lbs.,399
MSI,i7-1280P (1.80GHz),Intel Iris Xe Graphics ,16GB ,13.4 Inches,,1TB SSD,Windows 11 Home,None,799
Acer,Intel Celeron N4500 (1.10GHz) ,Intel UHD Graphics,4GB,14.0 Inches,1366 x 768,128GB SSD,Chrome OS,None,229.99
Acer,Intel Celeron N4500 (1.10GHz) ,Intel UHD Graphics,4GB,14 Inches,,128GB SSD,Chrome OS,None,299.99
MSI,Intel Core i9 13th Gen 13950HX (2.20GHz) ,NVIDIA RTX 2000 ADA,32GB,16 Inches,2560 x 1600,1TB NVMe SSD,Windows 11 Pro 64-bit,None,2891.46
MSI,AMD Ryzen 7-7730U,AMD Radeon Graphics,16GB ,14 Inches,1920x1080,512GB SSD,Windows 11 Home,3.75 lbs.,449
Acer,Intel Core i5 12th Gen 1235U (1.30GHz),Intel Iris Xe Graphics,8GB,15.6 Inches,1920x1080,512GB SSD,Windows 11 Home,3.88 lbs.,553.99
LG,Intel Core i7-1260P (2.10GHz),Intel Iris Xe Graphics,16GB,16 Inches,2560 x 1600,1TB SSD,Windows 11 Pro,3.26 lbs.,1149.99
Lenovo,AMD Ryzen 5 5000 Series 5500U (2.10GHz),AMD Radeon Graphics,8GB,15.6 Inches,1920 x 1080,512 GB PCIe SSD,Windows 11 Home,3.52 lbs.,379.99
Acer,Intel Core i5 11th Gen 1135G7 (2.40GHz) ,Intel Iris Xe Graphics ,8GB,14.0 Inches,1920 x 1080,128GB SSD,Chrome OS,None,687.99
HP,Intel Core i5 12th Gen 1235U (1.30GHz),Intel Iris Xe Graphics,8 GB,14 Inches,1366 x 768,256 GB PCIe SSD,Windows 11 Home,3.33 lbs.,599.99
Lenovo,AMD Ryzen 5 7530U,AMD Radeon Graphics,16GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,4.63 lbs.,599.99
MSI,Intel Core i9 13th Gen 13950HX (2.20GHz),NVIDIA RTX 3000,32GB,17.0 Inches,2560 x 1600,1TB NVMe SSD,Windows 11 Pro 64-bit,None,3429.99
MSI,Intel Core i5 13th Gen 13420H (2.10GHz),Intel Iris Xe Graphics,32GB,15.6 Inches,1920 x 1080,1TB NVMe SSD,Windows 11 Home,3.75 lbs.,699
MSI,Intel Core i3 12th Gen 1215U (1.20GHz),Intel UHD Graphics,8GB,15.6 Inches,1920 x 1080,512GB SSD,Windows 11 Home,3.85 lbs.,379
